frame,id,type,x,y,z,kmh,gear
8984,2442,vehicle.bh.crossbike,   397.540,    64.710,     0.003,           0.00,0
8984,2441,vehicle.bh.crossbike,    77.373,     3.382,     0.003,           0.00,0
8984,2440,vehicle.bh.crossbike,   400.492,   265.647,     0.107,           0.00,0
8984,2439,vehicle.bh.crossbike,   398.851,     4.524,     0.328,           0.00,0
8984,2438,vehicle.bh.crossbike,   401.388,    80.560,     0.107,           0.00,0
8984,2437,vehicle.bh.crossbike,   302.917,    65.179,     0.099,           0.00,0
8984,2436,vehicle.bh.crossbike,   339.013,   240.469,     0.003,           0.00,0
8984,2435,vehicle.bh.crossbike,    95.420,    82.585,     0.107,           0.00,0
8984,2434,vehicle.bh.crossbike,   398.925,   229.531,     0.107,           0.00,0
8984,2433,vehicle.bh.crossbike,   100.641,    63.508,     0.106,           0.00,0
8984,2432,vehicle.bh.crossbike,   169.743,   198.545,     0.003,           0.00,0
8984,2431,vehicle.bh.crossbike,   127.203,   137.611,     0.107,           0.00,0
8984,2426,vehicle.bh.crossbike,    88.398,   178.090,     0.003,           0.00,0
8984,2423,vehicle.bh.crossbike,     4.842,   101.356,     0.558,           0.00,0
8984,2844,vehicle.bh.crossbike,     2.039,   202.431,     0.003,           0.00,0
8984,2850,vehicle.bh.crossbike,    -1.956,   234.460,     0.002,           0.00,0
8984,2853,vehicle.bh.crossbike,   127.924,   199.034,     0.003,           0.00,0
8984,2854,vehicle.bh.crossbike,   136.936,   195.174,     0.003,           0.00,0
8984,2861,vehicle.bh.crossbike,   175.152,   195.174,     0.003,           0.00,0
8984,2990,vehicle.tesla.model3,   200.657,    60.312,    -0.018,           0.01,1
8985,2858,vehicle.bh.crossbike,   206.770,   195.122,     0.002,           0.00,0
8985,2848,vehicle.bh.crossbike,   293.152,   129.643,     0.003,           0.00,0
8985,2430,vehicle.bh.crossbike,   191.978,   194.639,     0.003,           0.00,0
8985,2859,vehicle.bh.crossbike,   264.516,   199.124,     0.003,           0.00,0
8985,2424,vehicle.bh.crossbike,   105.298,   200.840,     0.028,           0.00,0
8985,2872,vehicle.bh.crossbike,   313.682,   199.134,     0.003,           0.00,0
8985,2846,vehicle.bh.crossbike,   206.827,     1.982,     0.003,           0.00,0
8985,2834,vehicle.lincoln.mkz_2017,   124.318,    55.201,     0.032,           0.00,0
8985,2835,vehicle.tesla.model3,    93.000,    80.271,    -0.026,           0.00,0
8985,2849,vehicle.bh.crossbike,   268.698,   330.584,     0.003,           0.00,0
8985,2847,vehicle.bh.crossbike,   356.809,   330.734,     0.002,           0.00,0
8985,2843,vehicle.bh.crossbike,    92.454,   110.601,     0.003,           0.00,0
8985,2425,vehicle.bh.crossbike,   390.922,   147.815,     0.003,           0.00,0
8985,3225,vehicle.tesla.model3,   197.056,    59.892,     0.406,           0.03,1
8985,2429,vehicle.bh.crossbike,   179.659,   333.902,     0.107,           0.00,0
8985,2428,vehicle.bh.crossbike,   211.759,   323.050,    -0.163,           0.00,0
8985,2427,vehicle.bh.crossbike,   300.636,   131.375,     0.003,           0.00,0
8985,2867,vehicle.bh.crossbike,   110.847,    59.571,     0.002,           0.00,0
8985,2845,vehicle.bh.crossbike,   294.347,    59.437,     0.003,           0.00,0
8985,2869,vehicle.bh.crossbike,   139.198,   199.055,     0.003,           0.00,0
8985,2862,vehicle.bh.crossbike,   335.000,   304.762,     0.002,           0.00,0
8985,2857,vehicle.bh.crossbike,    88.216,   151.534,     0.002,           0.00,0
8985,2866,vehicle.bh.crossbike,   242.218,   129.627,     0.003,           0.00,0
8985,2855,vehicle.bh.crossbike,    92.291,   256.933,     0.003,           0.00,0
8985,2870,vehicle.bh.crossbike,   226.325,   326.521,     0.003,           0.00,0
8985,2852,vehicle.bh.crossbike,   372.354,     2.015,     0.003,           0.00,0
